what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.frameworks,1.2.101.v201107192200,"org.eclipse.wst.common.frameworks",1330393264050
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1330393264050
started,bundle,org.eclipse.wst.common.modulecore,1.2.101.v201108231700,"org.eclipse.wst.common.modulecore",1330393264051
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1330393264052
started,bundle,org.eclipse.wst.sse.core,1.1.601.v201108151912,"org.eclipse.wst.sse.core",1330393264053
started,bundle,org.eclipse.wst.validation,1.2.302.v201107140600,"org.eclipse.wst.validation",1330393264053
started,bundle,org.eclipse.wst.web,1.1.500.v201104251400,"org.eclipse.wst.web",1330393264054
started,bundle,org.eclipse.wst.xml.core,1.1.601.v201108302147,"org.eclipse.wst.xml.core",1330393264055
started,bundle,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.adt",1330393264055
started,bundle,com.android.ide.eclipse.ddms,16.0.1.v201112150204-238534,"com.android.ide.eclipse.ddms",1330393264056
started,bundle,com.android.ide.eclipse.traceview,16.0.1.v201112150204-238534,"com.android.ide.eclipse.traceview",1330393264056
started,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1330393264056
started,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1330393264058
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1330393264058
started,bundle,org.eclipse.mylyn.github.ui,1.3.0.201202151440-r,"org.eclipse.mylyn.github.ui",1330393264059
os,sysinfo,,,"linux",1330393264084
arch,sysinfo,,,"x86",1330393264084
ws,sysinfo,,,"gtk",1330393264084
locale,sysinfo,,,"en_US",1330393264084
processors,sysinfo,,,"2",1330393264085
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1330393264085
java.runtime.version,sysinfo,,,"1.6.0_23-b23",1330393264085
java.specification.name,sysinfo,,,"Java Platform API Specification",1330393264085
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1330393264085
java.specification.version,sysinfo,,,"1.6",1330393264085
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1330393264085
java.version,sysinfo,,,"1.6.0_23",1330393264085
java.vm.info,sysinfo,,,"mixed mode, sharing",1330393264085
java.vm.name,sysinfo,,,"OpenJDK Client VM",1330393264085
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1330393264085
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1330393264085
java.vm.specification.version,sysinfo,,,"1.0",1330393264085
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1330393264085
java.vm.version,sysinfo,,,"20.0-b11",1330393264085
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330393264423
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330393277530
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330393280211
